Time: 2023-05-17 10:11:38.466801, Key pressed: 2
Time: 2023-05-17 10:11:38.501007, Key pressed: 2
Time: 2023-05-17 10:11:38.535076, Key pressed: 2
Time: 2023-05-17 10:11:38.563951, Key pressed: 2
Time: 2023-05-17 10:11:38.593691, Key pressed: 2
Time: 2023-05-17 10:11:38.642404, Key pressed: 2
Time: 2023-05-17 10:11:38.666727, Key pressed: 2
Time: 2023-05-17 10:11:38.704917, Key pressed: 2
Time: 2023-05-17 10:11:38.744875, Key pressed: 2
Time: 2023-05-17 10:11:38.778349, Key pressed: 2
Time: 2023-05-17 10:11:38.813026, Key pressed: 2
Time: 2023-05-17 10:11:38.841709, Key pressed: 2
Time: 2023-05-17 10:11:39.763812, Key pressed: 3
Time: 2023-05-17 10:11:39.813474, Key pressed: 1
Time: 2023-05-17 10:11:39.818666, Key pressed: 2
Time: 2023-05-17 10:11:40.070210, Key pressed: 2
Time: 2023-05-17 10:11:40.390575, Key pressed: 3
Time: 2023-05-17 10:11:40.411797, Key pressed: 2
Time: 2023-05-17 10:11:40.416997, Key pressed: 1
Time: 2023-05-17 10:11:40.659206, Key pressed: 1
Time: 2023-05-17 10:11:40.698159, Key pressed: 1
Time: 2023-05-17 10:11:40.723613, Key pressed: 1
Time: 2023-05-17 10:11:41.218405, Key pressed: 3
Time: 2023-05-17 10:11:41.249261, Key pressed: 2
Time: 2023-05-17 10:11:41.396733, Key pressed: 1
Time: 2023-05-17 10:11:41.646545, Key pressed: 1
Time: 2023-05-17 10:11:41.680205, Key pressed: 1
Time: 2023-05-17 10:11:41.718840, Key pressed: 1
Time: 2023-05-17 10:11:41.748206, Key pressed: 1
Time: 2023-05-17 10:11:41.787732, Key pressed: 1
Time: 2023-05-17 10:11:41.828669, Key pressed: 1
Time: 2023-05-17 10:11:41.856532, Key pressed: 1
Time: 2023-05-17 10:11:41.885147, Key pressed: 1
Time: 2023-05-17 10:11:41.923748, Key pressed: 1
Time: 2023-05-17 10:11:41.963181, Key pressed: 1
Time: 2023-05-17 10:11:41.987385, Key pressed: 1
Time: 2023-05-17 10:11:42.021817, Key pressed: 1
Time: 2023-05-17 10:11:42.060734, Key pressed: 1
Time: 2023-05-17 10:11:42.095934, Key pressed: 1
Time: 2023-05-17 10:11:42.119856, Key pressed: 1
Time: 2023-05-17 10:11:42.164424, Key pressed: 1
Time: 2023-05-17 10:11:42.198439, Key pressed: 1
Time: 2023-05-17 10:11:42.227295, Key pressed: 1
Time: 2023-05-17 10:11:42.266205, Key pressed: 1
Time: 2023-05-17 10:11:42.300221, Key pressed: 1
Time: 2023-05-17 10:11:42.340638, Key pressed: 1
Time: 2023-05-17 10:11:42.363242, Key pressed: 1
Time: 2023-05-17 10:11:42.407551, Key pressed: 1
Time: 2023-05-17 10:11:42.441199, Key pressed: 1
Time: 2023-05-17 10:11:42.460233, Key pressed: 1
Time: 2023-05-17 10:11:42.499392, Key pressed: 1
Time: 2023-05-17 10:11:42.533715, Key pressed: 1
Time: 2023-05-17 10:11:42.568175, Key pressed: 1
Time: 2023-05-17 10:11:42.603378, Key pressed: 1
Time: 2023-05-17 10:11:42.636129, Key pressed: 1
Time: 2023-05-17 10:11:42.670538, Key pressed: 1
Time: 2023-05-17 10:11:42.703858, Key pressed: 1
Time: 2023-05-17 10:11:42.743810, Key pressed: 1
Time: 2023-05-17 10:11:42.784245, Key pressed: 1
Time: 2023-05-17 10:11:42.807237, Key pressed: 1
Time: 2023-05-17 10:11:42.846137, Key pressed: 1
Time: 2023-05-17 10:11:42.880283, Key pressed: 1
Time: 2023-05-17 10:11:42.908708, Key pressed: 1
Time: 2023-05-17 10:11:44.845181, Key pressed: 1
Time: 2023-05-17 10:11:45.048577, Key pressed: 3
Time: 2023-05-17 10:11:45.069075, Key pressed: 2
Time: 2023-05-17 10:11:45.323437, Key pressed: 2
Time: 2023-05-17 10:11:45.356853, Key pressed: 2
Time: 2023-05-17 10:11:45.395691, Key pressed: 2
Time: 2023-05-17 10:11:45.420149, Key pressed: 2
Time: 2023-05-17 10:11:45.459904, Key pressed: 2
Time: 2023-05-17 10:11:45.493905, Key pressed: 2
Time: 2023-05-17 10:11:45.533130, Key pressed: 2
Time: 2023-05-17 10:11:45.561136, Key pressed: 2
Time: 2023-05-17 10:11:46.076593, Key pressed: 3
Time: 2023-05-17 10:11:46.081988, Key pressed: 2
Time: 2023-05-17 10:11:46.329226, Key pressed: 2
Time: 2023-05-17 10:11:46.362957, Key pressed: 2
Time: 2023-05-17 10:11:46.394253, Key pressed: 1
Time: 2023-05-17 10:11:46.643053, Key pressed: 1
Time: 2023-05-17 10:11:46.672651, Key pressed: 1
Time: 2023-05-17 10:11:46.706460, Key pressed: 1
Time: 2023-05-17 10:11:46.745085, Key pressed: 1
Time: 2023-05-17 10:11:46.785406, Key pressed: 1
Time: 2023-05-17 10:11:46.807847, Key pressed: 1
Time: 2023-05-17 10:11:46.856703, Key pressed: 1
Time: 2023-05-17 10:11:47.323454, Key pressed: 1
Time: 2023-05-17 10:11:47.529877, Key pressed: 2
Time: 2023-05-17 10:11:47.535169, Key pressed: 3
Time: 2023-05-17 10:11:47.803529, Key pressed: 3
Time: 2023-05-17 10:11:47.837658, Key pressed: 3
Time: 2023-05-17 10:11:47.866485, Key pressed: 3
Time: 2023-05-17 10:11:47.911832, Key pressed: 3
Time: 2023-05-17 10:11:47.939642, Key pressed: 3
Time: 2023-05-17 10:11:47.968066, Key pressed: 3
Time: 2023-05-17 10:11:48.007474, Key pressed: 3
Time: 2023-05-17 10:11:48.608017, Key pressed: 2
Time: 2023-05-17 10:11:48.618520, Key pressed: 3
Time: 2023-05-17 10:11:48.869618, Key pressed: 3
Time: 2023-05-17 10:11:48.895433, Key pressed: 1
Time: 2023-05-17 10:11:49.152013, Key pressed: 1
Time: 2023-05-17 10:11:49.185843, Key pressed: 1
Time: 2023-05-17 10:11:49.214853, Key pressed: 1
Time: 2023-05-17 10:11:49.249262, Key pressed: 1
Time: 2023-05-17 10:11:49.288283, Key pressed: 1
Time: 2023-05-17 10:11:49.321862, Key pressed: 1
Time: 2023-05-17 10:11:49.353925, Key pressed: 1
Time: 2023-05-17 10:11:49.816760, Key pressed: 2
Time: 2023-05-17 10:11:49.934814, Key pressed: 3
Time: 2023-05-17 10:11:50.064332, Key pressed: 1
Time: 2023-05-17 10:11:50.322494, Key pressed: 1
Time: 2023-05-17 10:11:50.351796, Key pressed: 1
Time: 2023-05-17 10:11:50.390973, Key pressed: 1
Time: 2023-05-17 10:11:50.424530, Key pressed: 1
Time: 2023-05-17 10:11:50.454209, Key pressed: 1
Time: 2023-05-17 10:11:50.492684, Key pressed: 1
Time: 2023-05-17 10:11:50.527327, Key pressed: 1
Time: 2023-05-17 10:11:50.561162, Key pressed: 1
Time: 2023-05-17 10:11:50.594953, Key pressed: 1
Time: 2023-05-17 10:11:50.623560, Key pressed: 1
Time: 2023-05-17 10:11:50.657628, Key pressed: 1
Time: 2023-05-17 10:11:50.702226, Key pressed: 1
Time: 2023-05-17 10:11:51.128392, Key pressed: 3
Time: 2023-05-17 10:11:51.167854, Key pressed: 2
Time: 2023-05-17 10:11:51.183289, Key pressed: 1
Time: 2023-05-17 10:11:51.427451, Key pressed: 1
Time: 2023-05-17 10:11:51.456151, Key pressed: 1
Time: 2023-05-17 10:11:51.495298, Key pressed: 1
Time: 2023-05-17 10:11:51.522955, Key pressed: 1
Time: 2023-05-17 10:11:51.568304, Key pressed: 1
Time: 2023-05-17 10:11:51.593732, Key pressed: 1
