Time: 2023-05-17 13:52:39.079523, Key pressed: =
Time: 2023-05-17 13:52:40.579835, Key pressed: =
Time: 2023-05-17 13:52:42.084825, Key pressed: =
Time: 2023-05-17 13:52:43.574436, Key pressed: =
Time: 2023-05-17 13:52:45.085301, Key pressed: =
Time: 2023-05-17 13:52:46.579932, Key pressed: =
Time: 2023-05-17 13:52:48.083478, Key pressed: =
Time: 2023-05-17 13:52:49.583902, Key pressed: =
Time: 2023-05-17 13:52:51.073330, Key pressed: =
Time: 2023-05-17 13:52:52.583615, Key pressed: =
Time: 2023-05-17 13:52:54.088109, Key pressed: =
Time: 2023-05-17 13:52:55.583993, Key pressed: =
Time: 2023-05-17 13:52:57.089090, Key pressed: =
Time: 2023-05-17 13:52:58.588955, Key pressed: =
Time: 2023-05-17 13:53:00.088343, Key pressed: =
Time: 2023-05-17 13:53:01.585334, Key pressed: =
Time: 2023-05-17 13:53:03.083842, Key pressed: =
Time: 2023-05-17 13:53:04.583622, Key pressed: =
Time: 2023-05-17 13:53:06.083498, Key pressed: =
Time: 2023-05-17 13:53:07.583750, Key pressed: =
Time: 2023-05-17 13:53:09.078899, Key pressed: =
Time: 2023-05-17 13:53:10.583897, Key pressed: =
Time: 2023-05-17 13:53:12.073404, Key pressed: =
Time: 2023-05-17 13:53:13.594363, Key pressed: =
Time: 2023-05-17 13:53:15.078963, Key pressed: =
Time: 2023-05-17 13:53:16.583896, Key pressed: =
Time: 2023-05-17 13:53:18.084663, Key pressed: =
Time: 2023-05-17 13:53:19.573940, Key pressed: =
Time: 2023-05-17 13:53:21.088546, Key pressed: =
Time: 2023-05-17 13:53:22.588510, Key pressed: =
Time: 2023-05-17 13:53:24.084363, Key pressed: =
Time: 2023-05-17 13:53:25.588321, Key pressed: =
Time: 2023-05-17 13:53:27.083442, Key pressed: =
Time: 2023-05-17 13:53:28.588378, Key pressed: =
Time: 2023-05-17 13:53:30.078619, Key pressed: =
Time: 2023-05-17 13:53:31.588472, Key pressed: =
Time: 2023-05-17 13:53:33.088381, Key pressed: =
Time: 2023-05-17 13:53:34.574131, Key pressed: =
Time: 2023-05-17 13:53:36.084480, Key pressed: =
Time: 2023-05-17 13:53:37.579799, Key pressed: =
Time: 2023-05-17 13:53:39.085964, Key pressed: =
Time: 2023-05-17 13:53:40.580131, Key pressed: =
Time: 2023-05-17 13:53:42.084120, Key pressed: =
Time: 2023-05-17 13:53:43.588541, Key pressed: =
Time: 2023-05-17 13:53:45.088670, Key pressed: =
Time: 2023-05-17 13:53:46.588609, Key pressed: =
Time: 2023-05-17 13:53:48.088638, Key pressed: =
Time: 2023-05-17 13:53:49.579926, Key pressed: =
Time: 2023-05-17 13:53:51.084993, Key pressed: =
Time: 2023-05-17 13:53:52.579426, Key pressed: =
Time: 2023-05-17 13:53:54.078856, Key pressed: =
Time: 2023-05-17 13:53:55.589052, Key pressed: =
Time: 2023-05-17 13:53:57.088465, Key pressed: =
Time: 2023-05-17 13:53:58.583478, Key pressed: =
Time: 2023-05-17 13:54:00.088013, Key pressed: =
